season,city,date,team1,team2,winner,win_by_runs,win_by_wickets,player_of_match,venue
2015,Mumbai,25-04-2015,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,20,0,SL Malinga,Wankhede Stadium
2015,Ahmedabad,24-04-2015,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,0,9,MA Starc,"Sardar Patel Stadium, Motera"
2015,Delhi,23-04-2015,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,37,0,SS Iyer,Feroz Shah Kotla
2015,Visakhapatnam,22-04-2015,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,16,0,DA Warner,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
2015,Bangalore,22-04-2015,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,27,0,SK Raina,M Chinnaswamy Stadium
2015,Ahmedabad,21-04-2015,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,0,0,SE Marsh,"Sardar Patel Stadium, Motera"
2015,Delhi,20-04-2015,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,0,6,UT Yadav,Feroz Shah Kotla
2015,Bangalore,19-04-2015,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,18,0,Harbhajan Singh,M Chinnaswamy Stadium
2015,Ahmedabad,19-04-2015,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,0,8,AM Rahane,"Sardar Patel Stadium, Motera"
2015,Pune,18-04-2015,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,0,4,AD Russell,Maharashtra Cricket Association Stadium
2015,Visakhapatnam,18-04-2015,Sunrisers Hyderabad,Delhi Daredevils,Delhi Daredevils,4,0,JP Duminy,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
2015,Mumbai,17-04-2015,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,0,6,A Nehra,Wankhede Stadium
2015,Visakhapatnam,16-04-2015,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,0,6,AM Rahane,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
2015,Pune,15-04-2015,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,0,5,MA Agarwal,Maharashtra Cricket Association Stadium
2015,Ahmedabad,14-04-2015,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,0,7,SPD Smith,"Sardar Patel Stadium, Motera"
2015,Bangalore,13-04-2015,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,0,8,DA Warner,M Chinnaswamy Stadium
2015,Delhi,12-04-2015,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,0,3,DJ Hooda,Feroz Shah Kotla
2015,Mumbai,12-04-2015,Mumbai Indians,Kings XI Punjab,Kings XI Punjab,18,0,GJ Bailey,Wankhede Stadium
2015,Kolkata,11-04-2015,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,0,3,CH Gayle,Eden Gardens
2015,Chennai,11-04-2015,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,45,0,BB McCullum,"MA Chidambaram Stadium, Chepauk"
2015,Pune,10-04-2015,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,26,0,JP Faulkner,Maharashtra Cricket Association Stadium
2015,Chennai,09-04-2015,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,1,0,A Nehra,"MA Chidambaram Stadium, Chepauk"
2015,Kolkata,08-04-2015,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,0,7,M Morkel,Eden Gardens
2014,Bangalore,01-06-2014,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,0,3,MK Pandey,M Chinnaswamy Stadium
2014,Mumbai,30-05-2014,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,24,0,V Sehwag,Wankhede Stadium
2014,Mumbai,28-05-2014,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,0,7,SK Raina,Brabourne Stadium
2014,Kolkata,28-05-2014,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,28,0,UT Yadav,Eden Gardens
2014,Mumbai,25-05-2014,Mumbai Indians,Rajasthan Royals,Mumbai Indians,0,5,CJ Anderson,Wankhede Stadium
2014,Chandigarh,25-05-2014,Kings XI Punjab,Delhi Daredevils,Kings XI Punjab,0,7,M Vohra,"Punjab Cricket Association Stadium, Mohali"
2014,Bangalore,24-05-2014,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,0,8,MS Dhoni,M Chinnaswamy Stadium
2014,Kolkata,24-05-2014,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,0,4,YK Pathan,Eden Gardens
2014,Mumbai,23-05-2014,Mumbai Indians,Delhi Daredevils,Mumbai Indians,15,0,MEK Hussey,Wankhede Stadium
2014,Chandigarh,23-05-2014,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,16,0,SE Marsh,"Punjab Cricket Association Stadium, Mohali"
2014,Ranchi,22-05-2014,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,0,6,DA Warner,JSCA International Stadium Complex
2014,Kolkata,22-05-2014,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,30,0,RV Uthappa,Eden Gardens
2014,Chandigarh,21-05-2014,Kings XI Punjab,Mumbai Indians,Mumbai Indians,0,7,LMP Simmons,"Punjab Cricket Association Stadium, Mohali"
2014,Hyderabad,20-05-2014,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,0,7,DA Warner,"Rajiv Gandhi International Stadium, Uppal"
2014,Kolkata,20-05-2014,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,0,8,RV Uthappa,Eden Gardens
2014,Ahmedabad,19-05-2014,Rajasthan Royals,Mumbai Indians,Mumbai Indians,25,0,MEK Hussey,"Sardar Patel Stadium, Motera"
2014,Delhi,19-05-2014,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,0,4,AR Patel,Feroz Shah Kotla
2014,Ranchi,18-05-2014,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,0,5,AB de Villiers,JSCA International Stadium Complex
2014,Hyderabad,18-05-2014,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,0,7,UT Yadav,"Rajiv Gandhi International Stadium, Uppal"
2014,Ahmedabad,15-05-2014,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,62,0,AM Rahane,"Sardar Patel Stadium, Motera"
2014,Hyderabad,14-05-2014,Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,0,6,WP Saha,"Rajiv Gandhi International Stadium, Uppal"
